OBJECTID,MOID,MOTYPE,SELCODE,DSPCODE,UDFTYPE,LDMTYPE,ID,DESCRIPT,YR_INST,YR_RETIRE,ZONE,MATERIAL,LINING,COST_ID,PHASE,ID_1,LENGTH,DIAMETER,ROUGHNESS,MINORLOSS,TOTALIZER,CHK_VALVE,ID_12,DIRECTION,RUN_DIAM,RUN_LENGTH,RUN_ROUGH,FLOW,VELOCITY,HEADLOSS,HL1000,STATUS,MAX_FLOW,MIN_FLOW,AVE_FLOW,MAX_VELOC,MIN_VELOC,AVE_VELOC,MAX_HDLOSS,MIN_HDLOSS,AVE_HDLOSS,SHAPE_Length,Crtical_Xing
21,P827,0,,,,,P827,Ductile Iron,,,,,,,,P827,16.56114394,6,130,,0,0,P827,0,6,16.56,130,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16.56114393,0
22,P829,0,,,,,P829,Ductile Iron,,,,,,,,P829,10.04175471,6,130,,0,0,P829,0,6,10.04,130,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10.04175471,1
23,P831,0,,,,,P831,Ductile Iron,,,,,,,,P831,13.38827947,6,130,,0,0,P831,0,6,13.39,130,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13.38827946,0
24,P833,0,,,,,P833,Ductile Iron,,,,,,,,P833,13.74910484,6,130,,0,0,P833,0,6,13.75,130,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13.74910484,0
25,P835,0,,,,,P835,Ductile Iron,,,,,,,,P835,124.5424388,6,130,,0,0,P835,0,6,124.54,130,0,0,0,0,1,0,0,0,0,0,0,0,0,0,124.5424388,0
26,P837,0,,,,,P837,Ductile Iron,,,,,,,,P837,66.74455036,6,130,,0,0,P837,0,6,66.74,130,0,0,0,0,1,0,0,0,0,0,0,0,0,0,66.74455036,0
27,P839,0,,,,,P839,Ductile Iron,,,,,,,,P839,47.82082484,6,130,,0,0,P839,0,6,47.82,130,0,0,0,0,1,0,0,0,0,0,0,0,0,0,47.82082484,0
28,P841,0,,,,,P841,Ductile Iron,,,,,,,,P841,56.95783751,6,130,,0,0,P841,0,6,56.96,130,0,0,0,0,1,0,0,0,0,0,0,0,0,0,56.95783751,0
29,P843,0,,,,,P843,Ductile Iron,,,,,,,,P843,74.22980929,6,130,,0,0,P843,0,6,74.23,130,0,0,0,0,1,0,0,0,0,0,0,0,0,0,74.22980929,0
30,P845,0,,,,,P845,Ductile Iron,,,,,,,,P845,69.64497157,6,130,,0,0,P845,0,6,69.64,130,0,0,0,0,1,0,0,0,0,0,0,0,0,0,69.64497157,0
31,P847,0,,,,,P847,Ductile Iron,,,,,,,,P847,63.29376391,6,130,,0,0,P847,0,6,63.29,130,0,0,0,0,1,0,0,0,0,0,0,0,0,0,63.29376391,0
32,P849,0,,,,,P849,Ductile Iron,,,,,,,,P849,20.32068754,6,130,,0,0,P849,0,6,20.32,130,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20.32068754,0
33,P851,0,,,,,P851,Ductile Iron,,,,,,,,P851,35.02226299,6,130,,0,0,P851,0,6,35.02,130,0,0,0,0,1,0,0,0,0,0,0,0,0,0,35.02226299,0
34,P853,0,,,,,P853,Ductile Iron,,,,,,,,P853,5.447776274,6,130,,0,0,P853,0,6,5.45,130,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.447776274,0
35,P855,0,,,,,P855,Ductile Iron,,,,,,,,P855,44.95546821,6,130,,0,0,P855,0,6,44.96,130,0,0,0,0,1,0,0,0,0,0,0,0,0,0,44.9554682,0
36,P857,0,,,,,P857,Ductile Iron,,,,,,,,P857,24.91446636,6,130,,0,0,P857,0,6,24.91,130,0,0,0,0,1,0,0,0,0,0,0,0,0,0,24.91446636,0
37,P859,0,,,,,P859,Ductile Iron,,,,,,,,P859,42.94717901,6,130,,0,0,P859,0,6,42.95,130,0,0,0,0,1,0,0,0,0,0,0,0,0,0,42.94717901,0
38,P861,0,,,,,P861,Ductile Iron,,,,,,,,P861,27.09465383,6,130,,0,0,P861,0,6,27.09,130,0,0,0,0,1,0,0,0,0,0,0,0,0,0,27.09465383,1
39,P863,0,,,,,P863,Ductile Iron,,,,,,,,P863,46.75155395,6,130,,0,0,P863,0,6,46.75,130,0,0,0,0,1,0,0,0,0,0,0,0,0,0,46.75155395,0
40,P865,0,,,,,P865,Ductile Iron,,,,,,,,P865,12.93492125,6,130,,0,0,P865,0,6,12.93,130,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12.93492125,0
41,P867,0,,,,,P867,Ductile Iron,,,,,,,,P867,32.96028555,6,130,,0,0,P867,0,6,32.96,130,0,0,0,0,1,0,0,0,0,0,0,0,0,0,32.96028555,0
42,P869,0,,,,,P869,Ductile Iron,,,,,,,,P869,25.02545488,6,130,,0,0,P869,0,6,25.03,130,0,0,0,0,1,0,0,0,0,0,0,0,0,0,25.02545488,0
43,P871,0,,,,,P871,Ductile Iron,,,,,,,,P871,0.860572979,6,130,,0,0,P871,0,6,0.86,130,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.860572979,0
44,P873,0,,,,,P873,Ductile Iron,,,,,,,,P873,1.871763186,6,130,,0,0,P873,0,6,1.87,130,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.871763186,0
45,P875,0,,,,,P875,Ductile Iron,,,,,,,,P875,13.54247174,6,130,,0,0,P875,0,6,13.54,130,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13.54247174,0
46,P877,0,,,,,P877,Ductile Iron,,,,,,,,P877,0.83515928,6,130,,0,0,P877,0,6,0.84,130,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.83515928,0
47,P879,0,,,,,P879,Ductile Iron,,,,,,,,P879,5.653904825,6,130,,0,0,P879,0,6,5.65,130,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.653904825,1
48,P881,0,,,,,P881,Ductile Iron,,,,,,,,P881,6.062135773,6,130,,0,0,P881,0,6,6.06,130,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6.062135773,0
49,P883,0,,,,,P883,Ductile Iron,,,,,,,,P883,30.05909051,6,130,,0,0,P883,0,6,30.06,130,0,0,0,0,1,0,0,0,0,0,0,0,0,0,30.05909051,0
50,P885,0,,,,,P885,Ductile Iron,,,,,,,,P885,13.70096829,6,130,,0,0,P885,0,6,13.7,130,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13.70096829,0
51,P887,0,,,,,P887,Ductile Iron,,,,,,,,P887,3.273092532,6,130,,0,0,P887,0,6,3.27,130,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.273092532,0
52,P889,0,,,,,P889,Ductile Iron,,,,,,,,P889,20.36281224,6,130,,0,0,P889,0,6,20.36,130,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20.36281224,0
53,P891,0,,,,,P891,Ductile Iron,,,,,,,,P891,16.89905048,6,130,,0,0,P891,0,6,16.9,130,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16.89905048,0
54,P893,0,,,,,P893,Ductile Iron,,,,,,,,P893,74.85294346,6,130,,0,0,P893,0,6,74.85,130,0,0,0,0,1,0,0,0,0,0,0,0,0,0,74.85294346,0
55,P895,0,,,,,P895,Ductile Iron,,,,,,,,P895,60.0068038,6,130,,0,0,P895,0,6,60.01,130,0,0,0,0,1,0,0,0,0,0,0,0,0,0,60.0068038,0
56,P897,0,,,,,P897,Ductile Iron,,,,,,,,P897,47.56434192,6,130,,0,0,P897,0,6,47.56,130,0,0,0,0,1,0,0,0,0,0,0,0,0,0,47.56434192,0
57,P899,0,,,,,P899,Ductile Iron,,,,,,,,P899,53.97092106,6,130,,0,0,P899,0,6,53.97,130,0,0,0,0,1,0,0,0,0,0,0,0,0,0,53.97092106,0
58,P901,0,,,,,P901,Ductile Iron,,,,,,,,P901,137.879927,6,130,,0,0,P901,0,6,137.88,130,0,0,0,0,1,0,0,0,0,0,0,0,0,0,137.879927,0
59,P903,0,,,,,P903,Ductile Iron,,,,,,,,P903,40.40162768,6,130,,0,0,P903,0,6,40.4,130,0,0,0,0,1,0,0,0,0,0,0,0,0,0,40.40162767,0
60,P905,0,,,,,P905,Ductile Iron,,,,,,,,P905,50.53918541,6,130,,0,0,P905,0,6,50.54,130,0,0,0,0,1,0,0,0,0,0,0,0,0,0,50.53918541,0
61,P907,0,,,,,P907,Ductile Iron,,,,,,,,P907,130.1747675,6,130,,0,0,P907,0,6,130.17,130,0,0,0,0,1,0,0,0,0,0,0,0,0,0,130.1747675,0
62,P909,0,,,,,P909,Ductile Iron,,,,,,,,P909,36.63753434,6,130,,0,0,P909,0,6,36.64,130,0,0,0,0,1,0,0,0,0,0,0,0,0,0,36.63753434,0
63,P911,0,,,,,P911,Ductile Iron,,,,,,,,P911,29.96011365,6,130,,0,0,P911,0,6,29.96,130,0,0,0,0,1,0,0,0,0,0,0,0,0,0,29.96011365,0
64,P913,0,,,,,P913,Ductile Iron,,,,,,,,P913,0.648437063,6,130,,0,0,P913,0,6,0.65,130,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.648437063,0
65,P915,0,,,,,P915,Ductile Iron,,,,,,,,P915,61.88874103,6,130,,0,0,P915,0,6,61.89,130,0,0,0,0,1,0,0,0,0,0,0,0,0,0,61.88874103,0
66,P917,0,,,,,P917,Ductile Iron,,,,,,,,P917,67.53553793,6,130,,0,0,P917,0,6,67.54,130,0,0,0,0,1,0,0,0,0,0,0,0,0,0,67.53553793,0
67,P919,0,,,,,P919,Ductile Iron,,,,,,,,P919,13.11924061,6,130,,0,0,P919,0,6,13.12,130,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13.11924061,0
68,P921,0,,,,,P921,Ductile Iron,,,,,,,,P921,37.71846498,6,130,,0,0,P921,0,6,37.72,130,0,0,0,0,1,0,0,0,0,0,0,0,0,0,37.71846498,0
69,P923,0,,,,,P923,Ductile Iron,,,,,,,,P923,34.8410321,6,130,,0,0,P923,0,6,34.84,130,0,0,0,0,1,0,0,0,0,0,0,0,0,0,34.8410321,0
70,P925,0,,,,,P925,Ductile Iron,,,,,,,,P925,10.8555458,6,130,,0,0,P925,0,6,10.86,130,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10.8555458,0
71,P927,0,,,,,P927,Ductile Iron,,,,,,,,P927,27.54976855,6,130,,0,0,P927,0,6,27.55,130,0,0,0,0,1,0,0,0,0,0,0,0,0,0,27.54976855,0
72,P929,0,,,,,P929,Ductile Iron,,,,,,,,P929,21.2754389,6,130,,0,0,P929,0,6,21.28,130,0,0,0,0,1,0,0,0,0,0,0,0,0,0,21.2754389,0
73,P931,0,,,,,P931,Ductile Iron,,,,,,,,P931,13.35876466,6,130,,0,0,P931,0,6,13.36,130,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13.35876466,0
